micro,year,name,num,ast
Klebsiella pneumoniae|Carbapenems,2011,Lithuania,0,R
Klebsiella pneumoniae|Carbapenems,2011,Luxembourg,0,R
Klebsiella pneumoniae|Carbapenems,2011,Latvia,0,R
Klebsiella pneumoniae|Carbapenems,2011,Malta,2,R
Klebsiella pneumoniae|Carbapenems,2011,Netherlands,2,R
Klebsiella pneumoniae|Carbapenems,2011,Norway,0,R
Klebsiella pneumoniae|Carbapenems,2011,Poland,2,R
Klebsiella pneumoniae|Carbapenems,2011,Portugal,2,R
Klebsiella pneumoniae|Carbapenems,2011,Romania,0,R
Klebsiella pneumoniae|Carbapenems,2011,Sweden,0,R
Klebsiella pneumoniae|Carbapenems,2011,Slovenia,0,R
Klebsiella pneumoniae|Carbapenems,2011,Slovakia,3,R
Klebsiella pneumoniae|Carbapenems,2011,United Kingdom,3,R
Klebsiella pneumoniae|Carbapenems,2012,Austria,6,R
Klebsiella pneumoniae|Carbapenems,2012,Belgium,4,R
Klebsiella pneumoniae|Carbapenems,2012,Bulgaria,2,R
Klebsiella pneumoniae|Carbapenems,2012,Cyprus,6,R
Klebsiella pneumoniae|Carbapenems,2012,Czechia,4,R
Klebsiella pneumoniae|Carbapenems,2012,Germany,0,R
Klebsiella pneumoniae|Carbapenems,2012,Denmark,2,R
Klebsiella pneumoniae|Carbapenems,2012,Estonia,1,R
Klebsiella pneumoniae|Carbapenems,2012,Greece,883,R
Klebsiella pneumoniae|Carbapenems,2012,Spain,9,R
Klebsiella pneumoniae|Carbapenems,2012,Finland,0,R
Klebsiella pneumoniae|Carbapenems,2012,France,8,R
Klebsiella pneumoniae|Carbapenems,2012,Croatia,0,R
Klebsiella pneumoniae|Carbapenems,2012,Hungary,14,R
Klebsiella pneumoniae|Carbapenems,2012,Ireland,0,R
Klebsiella pneumoniae|Carbapenems,2012,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2012,Italy,246,R
Klebsiella pneumoniae|Carbapenems,2012,Lithuania,0,R
Klebsiella pneumoniae|Carbapenems,2012,Luxembourg,0,R
Klebsiella pneumoniae|Carbapenems,2012,Latvia,0,R
Klebsiella pneumoniae|Carbapenems,2012,Malta,2,R
Klebsiella pneumoniae|Carbapenems,2012,Netherlands,1,R
Klebsiella pneumoniae|Carbapenems,2012,Norway,3,R
Klebsiella pneumoniae|Carbapenems,2012,Poland,3,R
Klebsiella pneumoniae|Carbapenems,2012,Portugal,5,R
Klebsiella pneumoniae|Carbapenems,2012,Romania,14,R
Klebsiella pneumoniae|Carbapenems,2012,Sweden,1,R
Klebsiella pneumoniae|Carbapenems,2012,Slovenia,1,R
Klebsiella pneumoniae|Carbapenems,2012,Slovakia,21,R
Klebsiella pneumoniae|Carbapenems,2012,United Kingdom,4,R
Klebsiella pneumoniae|Carbapenems,2013,Austria,11,R
Klebsiella pneumoniae|Carbapenems,2013,Belgium,2,R
Klebsiella pneumoniae|Carbapenems,2013,Bulgaria,0,R
Klebsiella pneumoniae|Carbapenems,2013,Cyprus,4,R
Klebsiella pneumoniae|Carbapenems,2013,Czechia,6,R
Klebsiella pneumoniae|Carbapenems,2013,Germany,5,R
Klebsiella pneumoniae|Carbapenems,2013,Denmark,1,R
Klebsiella pneumoniae|Carbapenems,2013,Estonia,2,R
Klebsiella pneumoniae|Carbapenems,2013,Greece,718,R
Klebsiella pneumoniae|Carbapenems,2013,Spain,20,R
Klebsiella pneumoniae|Carbapenems,2013,Finland,0,R
Klebsiella pneumoniae|Carbapenems,2013,France,12,R
Klebsiella pneumoniae|Carbapenems,2013,Croatia,2,R
Klebsiella pneumoniae|Carbapenems,2013,Hungary,9,R
Klebsiella pneumoniae|Carbapenems,2013,Ireland,1,R
Klebsiella pneumoniae|Carbapenems,2013,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2013,Italy,499,R
Klebsiella pneumoniae|Carbapenems,2013,Lithuania,0,R
Klebsiella pneumoniae|Carbapenems,2013,Luxembourg,1,R
Klebsiella pneumoniae|Carbapenems,2013,Latvia,0,R
Klebsiella pneumoniae|Carbapenems,2013,Malta,4,R
Klebsiella pneumoniae|Carbapenems,2013,Netherlands,2,R
Klebsiella pneumoniae|Carbapenems,2013,Norway,1,R
Klebsiella pneumoniae|Carbapenems,2013,Poland,3,R
Klebsiella pneumoniae|Carbapenems,2013,Portugal,16,R
Klebsiella pneumoniae|Carbapenems,2013,Romania,44,R
Klebsiella pneumoniae|Carbapenems,2013,Sweden,0,R
Klebsiella pneumoniae|Carbapenems,2013,Slovenia,1,R
Klebsiella pneumoniae|Carbapenems,2013,Slovakia,2,R
Klebsiella pneumoniae|Carbapenems,2013,United Kingdom,5,R
Klebsiella pneumoniae|Carbapenems,2014,Austria,6,R
Klebsiella pneumoniae|Carbapenems,2014,Belgium,2,R
Klebsiella pneumoniae|Carbapenems,2014,Bulgaria,10,R
Klebsiella pneumoniae|Carbapenems,2014,Cyprus,4,R
Klebsiella pneumoniae|Carbapenems,2014,Czechia,1,R
Klebsiella pneumoniae|Carbapenems,2014,Germany,7,R
Klebsiella pneumoniae|Carbapenems,2014,Denmark,2,R
Klebsiella pneumoniae|Carbapenems,2014,Estonia,0,R
Klebsiella pneumoniae|Carbapenems,2014,Greece,678,R
